Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атаманюк,Ада,Олександрівна,Жіноча,1993-08-07,Піаніст,селище Радехів,"сквер Чехівського, буд. 1 кв. 47, Ірпінь, 99707",+380 96 844-99-07,ielyseiiakymenko@example.com
Дейнеко,Августин,Петрович,Чоловіча,1982-10-26,Гірник,хутір Бунге,"площа Шампанський, буд. 324, Березівка, 13388",+380 24 202-20-92,arsen93@example.net
Семенченко,Вікторія,Миколаївна,Жіноча,1973-08-17,Громадський діяч,хутір Вашківці,"площа Колонтаївська, буд. 14, Болград, 35754",042 270 20 83,eduard44@example.net
Фастенко,Омелян,Іванович,Чоловіча,1997-06-28,Співак,хутір Українка,"сквер 21-й км Старокиївської дороги, буд. 97, Дружківка, 40648",+380 93 958-11-57,avhustyniatsenko@example.com
Василашко,Єлисей,Степанович,Чоловіча,2005-10-27,Маркетолог,хутір Валки,"проспект Заводська 4-та, буд. 55 кв. 946, Зеленодольськ, 14397",+380 14 759 18 58,ieva86@example.com
Вівчаренко,Емілія,Романівна,Жіноча,1998-09-06,Локсмайстер,хутір Ковель,"шосе Балківська, буд. 39, Стрий, 37046",+380 (22) 763-95-52,kpavlyk@example.net
Рак,Юстина,Володимирівна,Жіноча,1956-11-26,Швачка,селище Кіцмань,"вулиця Панаса Саксаганського, буд. 826 кв. 8, Нетішин, 43528",947 65 79,babiukfeofan@example.net
Яценко,Мирон,Іванович,Чоловіча,2007-03-05,Реставратор,місто Дрогобич,"вулиця Проточний, буд. 95 кв. 1, Кипуче, 76024",031 965 51 49,uandreiko@example.org
Оніщук,Одарка,Олександрівна,Жіноча,1972-04-25,Бухгалтер,хутір Самбір,"вулиця Москеті, буд. 934, Павлоград, 46177",+380 55 236 55 95,iustym88@example.com
Ващенко-Захарченко,Оксенія,Анатоліївна,Жіноча,1995-09-01,Музикант,місто Чигирин,"узвіз Ольвійська, буд. 3, Монастирище, 63152",+380 95 285-04-76,terezariabets@example.com
Юрченко,Зорян,Тарасович,Чоловіча,1995-10-24,Літературознавець,хутір Жашків,"набережна 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 6, Донецьк, 35614",+380 (77) 231-36-14,artemenkohalyna@example.com
Гавришкевич,Лариса,Дмитрівна,Жіноча,1969-04-30,Маркетолог,хутір Чорноморськ,"набережна Івана Франка, буд. 166 кв. 13, Тернівка, 33650",391 99 18,alina76@example.net
Дейнека,Станіслав,Максимович,Чоловіча,2011-04-25,Адвокат,місто Дрогобич,"шосе Зої Бутенко, буд. 99 кв. 4, Бар, 52370",+380 50 245-41-30,viterzynovii@example.com
Франчук,Ярема,Дмитрович,Чоловіча,1973-03-07,Детектив,хутір Новомиргород,"шосе Куяльницький міст, буд. 5, Погребище, 56901",592 16 57,diashchenko@example.org
Саченко,Спас,Максимович,Чоловіча,1998-08-20,Няня,селище Павлоград,"парк Степана Олійника узвіз, буд. 22 кв. 10, Березань, 65453",+380 19 771-52-01,fhavrysh@example.org
Абрагамовська,Орина,Дмитрівна,Жіноча,2000-04-03,Астрофізик,селище Новий Буг,"шосе Спортивний, буд. 785 кв. 71, Рівне, 65826",+380 (78) 744-40-76,pavlykaaron@example.net
Палій,Альбіна,Олександрівна,Жіноча,1961-08-15,Мікробіолог,село Ладижин,"проспект Льва Симиренка, буд. 9, Бобровиця, 71183",425-02-84,opanaskhmara@example.org
Ніколюк,Богуслава,Дмитрівна,Жіноча,1980-08-12,Флорист,село Житомир,"вулиця Кобзаря, буд. 94, Перещепине, 15857",031 368-29-09,rozaliia84@example.net
Юрченко,Оксенія,Михайлівна,Жіноча,1961-07-22,Шериф,село Вільногірськ,"сквер Книжковий, буд. 0, Нове Давидково, 02226",016 627-15-56,adamenkoorest@example.net
Андрейко,Євген,Миколайович,Чоловіча,1964-10-29,Головний меркшейдер,хутір Запоріжжя,"площа Новоберегова, буд. 38 кв. 2, Пирятин, 03037",076 462-62-50,volodymyr39@example.org
Онищенко,Андрій,Анатолійович,Чоловіча,1957-08-11,Публіцист,місто Кобеляки,"набережна Лінія 26-та, буд. 1 кв. 65, Бобровиця, 33561",+380 98 313-02-59,lesviter@example.org
Височан,Франц,Максимович,Чоловіча,1996-02-09,Письменник,село Алчевськ,"провулок Академіка Липського, буд. 1 кв. 872, Жовті Води, 23626",890 80 18,shylosofiia@example.org
Хорішко,Ада,Анатоліївна,Жіноча,1958-02-21,Географ,селище Балаклія,"парк Обліпихова, буд. 441, Болехів, 70932",+380 (68) 151-72-70,qbazavluchenko@example.com
Уманець,Владислав,Юрійович,Чоловіча,1987-04-15,Секретар,хутір Кремінна,"узвіз Педагогічний, буд. 445 кв. 627, Чуднів, 72238",422 69 22,iosypavdieienko@example.com
Носенко,Зиновій,Юрійович,Чоловіча,1978-10-15,Менеджер,селище Буча,"набережна Миколаївський 1-й, буд. 3 кв. 3, Нова Каховка, 84914",+380 (59) 743-12-61,lahodaiarema@example.org
Рябошапка,Зорян,Юрійович,Чоловіча,1977-10-17,Євнух,місто Марганець,"парк Пляжна, буд. 4 кв. 84, Чугуїв, 11447",082-20-30,vitaliirak@example.net
Скиба,Олег,Максимович,Чоловіча,1965-02-15,Ветеринар,селище Снігурівка,"проспект Дюківський сад, буд. 932, Вилкове, 03777",+380 12 354 08 22,ustenkoandrii@example.com
Черненко,Гордій,Дмитрович,Чоловіча,1979-10-11,Хореограф,село Старий Самбір,"парк Колонічна, буд. 5, Заставна, 32285",+380 06 930-82-81,iaryna62@example.org
Тихий,Демид,Юрійович,Чоловіча,1988-08-12,Філолог,місто Новояворівськ,"площа Солонцюватий 1-й, буд. 840 кв. 6, Світлодарськ, 16357",+380 83 580-45-08,sviatoslava75@example.net
Щербак,Валентина,Олександрівна,Жіноча,1978-03-16,Лікар,село Глухів,"вулиця 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 474, Джанкой, 50696",087 343-82-80,solomiia69@example.com
Остапчук,Петро,Юрійович,Чоловіча,1947-06-17,Астронавт,селище Городня,"шосе Південно-Санаторний, буд. 96 кв. 63, Вараш, 67758",091 476 85 17,oirvanets@example.net
Притула,Ярослав,Максимович,Чоловіча,1991-12-09,Астроном,село Скадовськ,"вулиця Грушева, буд. 31, Ірміно, 44111",031 083 69 82,zlatoslavashvachka@example.org
Павлик,Михайлина,Олександрівна,Жіноча,1989-12-13,Промисловець,село Миронівка,"узвіз Закарпатська, буд. 33, Путивль, 36129",447-32-39,alina71@example.org
Ємець,Нестор,Вікторович,Чоловіча,1981-02-26,Машиніст,село Самбір,"вулиця Єфімова, буд. 203 кв. 837, Тлумач, 33532",+380 19 719-89-53,ndatsenko@example.net
Онуфрієнко,Яків,Степанович,Чоловіча,1998-09-12,Фермер,хутір Сватове,"проспект Змієнка Всеволода, буд. 807, Мирноград, 38166",+380 78 312-85-05,radchenkoliudmyla@example.com
Назаренко,Аарон,Петрович,Чоловіча,1957-01-10,Мірошник,місто Бершадь,"парк Овідіопольська дорога, буд. 3, Балаклія, 49925",+380 (35) 947-71-20,adankevych@example.net
Чуприна,Демʼян,Богданович,Чоловіча,1965-09-30,Пекар,селище Амвросіївка,"шосе Східний, буд. 45, Охтирка, 53868",109 24 64,darynarak@example.com
Зінченко,Орися,Романівна,Жіноча,1949-02-03,Мовознавець,селище Антрацит,"парк Монгольська, буд. 434, Березань, 13983",158 28 03,vasylevychtrokhym@example.com
Савенко,Марина,Михайлівна,Жіноча,1946-04-20,Літературознавець,селище Стебник,"шосе Сумський, буд. 047 кв. 7, Лохвиця, 82639",880 83 44,valentyn88@example.com
Козаченко,Охрім,Сергійович,Чоловіча,1983-05-11,Мінералог,місто Добромиль,"проспект Неплія, буд. 1, Хуст, 21179",074 225-12-27,covcharenko@example.com
Гречаник,Ліза,Петрівна,Жіноча,1985-06-07,Мірошник,село Полтава,"провулок Сегедська, буд. 127, Вільнянськ, 25083",079 82 67,hiesypenko@example.org
Василашко,Єлисавета,Михайлівна,Жіноча,1992-03-25,Ріелтор,селище Славутич,"шосе Штурвальна, буд. 638, Рахів, 62350",017 626-35-78,irynashamrai@example.org
Наливайко,Єлисавета,Петрівна,Жіноча,1984-12-11,Клавішник,селище Городище,"узвіз Деревообробний 4-й, буд. 984, Здолбунів, 37022",+380 51 138-99-33,ndemianiuk@example.com
Овчаренко,Аніта,Юріївна,Жіноча,1976-09-01,Фрілансер,селище Зборів,"проспект Західний 4-й, буд. 456 кв. 21, Липовець, 12683",+380 77 955 70 97,kivanchenko@example.org
Козак,Єва,Степанівна,Жіноча,1979-04-29,Електрослюсар,селище Сорокине,"сквер Віри Холодної, буд. 11, Сокологірськ, 66564",+380 (16) 912-22-79,levkodankiv@example.org
Макогон,Маруся,Олегівна,Жіноча,1984-09-14,Дипломат,хутір Лисичанськ,"сквер Овідіопольський, буд. 4 кв. 336, Зборів, 94586",+380 28 197-69-64,tarasnazarenko@example.com
Рудик,Руслан,Романович,Чоловіча,1997-04-22,Швачка,село Бережани,"вулиця Херсонський сквер, буд. 3, Яремче, 54555",+380 (63) 902-22-12,omeliantovstukha@example.net
Аверченко,Нестор,Степанович,Чоловіча,1992-02-03,Стоматолог,хутір Феодосія,"вулиця Олександра Юрженка, буд. 2 кв. 740, Коростень, 32985",+380 23 876-77-87,fabramchuk@example.com
Туркало,Варвара,Григорівна,Жіноча,1949-02-07,Єгер,хутір Миколаїв,"площа 13-та ст. Великого Фонтану пляж, буд. 702, Новояворівськ, 89827",911 44 87,phuzii@example.net
Вишиваний,Йосип,Тарасович,Чоловіча,2010-11-12,Кур'єр,село Вараш,"шосе Остапа Вишні, буд. 67, Тлумач, 48236",+380 17 183-41-47,davyd16@example.net
Дахно,Святослав,Вікторович,Чоловіча,1955-06-16,Антрополог,хутір Калинівка,"вулиця Давида Ойстраха, буд. 7, Красноперекопськ, 98095",629 99 53,bilchenko@example.net
Салій,Охрім,Олександрович,Чоловіча,2004-08-08,Антрополог,село Добропілля,"вулиця Яблунева, буд. 690, Петрово-Красносілля, 68071",933-20-81,miashchenko@example.net
Пустовіт,Пармен,Григорович,Чоловіча,1973-08-27,Архітектор,село Тлумач,"парк Щоглова, буд. 61, Попасна, 53130",+380 52 946-33-89,iosypfurs@example.com
Павленко,Аркадій,Анатолійович,Чоловіча,2009-03-08,Програміст,місто Рожище,"парк Полтавська, буд. 64 кв. 316, Кам'янка (Черкаська область), 83933",048 611 62 59,kkarmaliuk@example.net
Василашко,Леонід,Андрійович,Чоловіча,1960-12-20,Економіст,хутір Дебальцеве,"площа Луцька, буд. 450 кв. 6, Гола Пристань, 78012",+380 72 987-39-01,asaienko@example.org
Вишиваний,Орхип,Анатолійович,Чоловіча,1954-03-04,Письменник,селище Приморськ,"узвіз Венгера, буд. 1, Подільськ, 24092",005 556 41 11,oles77@example.com
Макаренко,Альберт,Васильович,Чоловіча,2010-07-31,Геофізик,хутір Селидове,"узвіз Платанова, буд. 1 кв. 5, Копичинці, 48441",304 19 13,prokopovychonysym@example.org
Андрусенко,Валерій,Олегович,Чоловіча,1951-07-23,Інженер,село Жидачів,"провулок Чорноморський 5-й, буд. 464, Кривий Ріг, 36839",+380 32 509 40 71,alina20@example.com
Охримович,Антон,Дмитрович,Чоловіча,1960-04-27,Слідчий,селище Калуш,"сквер Аптекарський, буд. 99, Кодима, 48759",666-03-46,ekolodub@example.org
Євтушенко,Анастасія,Володимирівна,Жіноча,1972-03-16,Дизайнер,місто Новогродівка,"узвіз Грецький, буд. 42, Зимогір'я, 52693",018 474 42 59,gtovstolis@example.com
Безбородько,Костянтин,Сергійович,Чоловіча,1952-03-26,Ботанік,село Березівка,"сквер Газовий, буд. 64 кв. 6, Кагарлик, 75966",+380 (25) 532-91-22,spoltavets@example.net
Ірванець,Лариса,Петрівна,Жіноча,1977-03-20,Астроном,хутір Привілля,"вулиця Панаса Саксаганського, буд. 91 кв. 032, Дубляни, 11930",+380 (60) 473-78-53,gadamenko@example.com
Акименко,Ігнат,Григорович,Чоловіча,2011-12-21,Музичний редактор,місто Рава-Руська,"проспект Почаївська, буд. 10 кв. 0, Радехів, 25629",725-16-05,tetiana55@example.com
Кащенко,Макар,Степанович,Чоловіча,1970-01-17,Історик,хутір Дніпрорудне,"вулиця Стовпова, буд. 5, Вільнянськ, 58537",+380 11 967-36-77,borys36@example.net
Христенко,Зорян,Олегович,Чоловіча,1953-11-29,Програміст,село Херсон,"площа Трамвайний, буд. 0, Новогродівка, 19196",+380 10 829-08-06,milenasych@example.org
Хомик,Пилип,Миколайович,Чоловіча,1994-01-20,Композитор,хутір Брянка,"сквер Заводська 5-та, буд. 4 кв. 3, Бережани, 09623",+380 09 637 52 30,oleksandr46@example.net
Карпа,Анжела,Олегівна,Жіноча,1957-10-31,Паралегал,місто Заставна,"площа Патріотична, буд. 14 кв. 845, Вишневе, 45089",371 79 77,khudobiakonysym@example.org
Хмара,Едита,Богданівна,Жіноча,1950-07-27,Юрист,селище Баранівка,"площа Совіньйонівський, буд. 5, П'ятихатки, 83020",081 301 36 63,gkhudiak@example.org
Малишко,Ольга,Іванівна,Жіноча,1976-08-03,Дантист,хутір Стебник,"сквер Ланжеронівська, буд. 39, Євпаторія, 85069",095 760 37 57,vakhniiiakiv@example.org
Ященко,Леонтій,Юрійович,Чоловіча,1973-02-17,Педагог,селище Балта,"провулок Привозна, буд. 434 кв. 350, Зимогір'я, 47384",+380 88 108 71 70,fprotsenko@example.com
Дробаха,Теодор,Іванович,Чоловіча,1987-03-10,Громадський діяч,хутір Хорол,"сквер Павла Зеленого, буд. 591, Добропілля, 90487",+380 24 795-79-48,obabiuk@example.net
Карпенко,Аркадій,Юрійович,Чоловіча,1982-03-31,Кінокритик,хутір Лисичанськ,"провулок Магістральна, буд. 372, Долина, 73043",046 612 39 61,viacheslavsheremet@example.org
Заїка,Пармен,Вікторович,Чоловіча,1965-08-06,Астронавт,хутір Бережани,"набережна Лінія 54-та, буд. 76 кв. 8, Тростянець, 64832",+380 11 843-68-43,danylo97@example.net
Михалюк,Ярема,Вікторович,Чоловіча,1977-06-06,Намотувальник,хутір Гайсин,"шосе Парусна, буд. 582, Броди, 57881",+380 02 660-04-61,ostapzhuchenko@example.org
Шаповал,Августин,Дмитрович,Чоловіча,1962-02-21,Кухар,місто Костянтинівка,"парк Крутоярська, буд. 68, Кам'янка-Дніпровська, 40627",+380 84 296 92 34,amvrosiiduplii@example.com
Щорс,Лілія,Андріївна,Жіноча,1957-02-04,Будник,село Тульчин,"сквер Республіканська, буд. 0, Путивль, 46282",052 342-12-86,sofiia89@example.org
Дзиндра,Арсен,Григорович,Чоловіча,1960-10-26,Швачка,хутір Умань,"провулок Скидановська, буд. 85 кв. 07, Середина-Буда, 80907",+380 21 943-42-71,lesvyshniak@example.net
Лаба,Анжела,Василівна,Жіноча,1969-10-11,Юрист,село Рені,"вулиця Канатний, буд. 9 кв. 68, Решетилівка, 71146",+380 53 192-97-01,liza78@example.net
Самойленко,Дмитро,Миколайович,Чоловіча,1977-10-04,Геофізик,хутір Косів,"парк Восьмого березня 2-й, буд. 476 кв. 618, Городенка, 20261",+380 67 179-42-70,tymofii57@example.net
Конопленко,Зорян,Дмитрович,Чоловіча,1964-08-02,Провізор,хутір Дніпрорудне,"набережна Садовий, буд. 0 кв. 79, Залізне, 84877",279 54 17,oksanaoberemko@example.org
Гайденко,Охрім,Романович,Чоловіча,1997-10-11,Диригент,хутір Дубно,"сквер Довга, буд. 5, Винники, 38165",+380 69 593-16-78,orkhyptereshchuk@example.net
Гаврилишин,Артем,Олегович,Чоловіча,1983-09-10,Мікробіолог,місто Перевальськ,"набережна В’ячеслава Чорновола, буд. 624, Перещепине, 72703",+380 07 665 97 52,pavlenkoklavdiia@example.com
Примаченко,Ігор,Андрійович,Чоловіча,1987-06-05,Мистецтвознавець,селище Южноукраїнськ,"площа Пастера, буд. 1 кв. 52, Тетіїв, 98019",736-91-09,odemianenko@example.com
Гайденко,Галина,Дмитрівна,Жіноча,2002-11-11,Паралегал,селище Приморськ,"провулок Соляний 1-й, буд. 991, Канів, 64683",079 27 35,drozdenkooryna@example.com
Кальченко,Анжела,Михайлівна,Жіноча,1975-04-11,Хімік,село Волноваха,"парк Фабрична, буд. 5 кв. 43, Золотоноша, 75684",+380 97 222 75 31,havryletsonysym@example.net
Рудько,Вікторія,Петрівна,Жіноча,1980-01-17,Промисловець,селище Тетіїв,"набережна Михайла Врубеля, буд. 3, Алчевськ, 24095",053 790 94 05,abaran@example.net
Назаренко,Марко,Сергійович,Чоловіча,1958-03-03,Письменник,хутір Рівне,"парк Аеропортівський 2-й, буд. 61, Бучач, 99613",+380 23 355-76-89,bhavriushenko@example.com
Дахно,Симон,Олександрович,Чоловіча,1963-01-20,Головний меркшейдер,місто Дубляни,"площа Студентський 2-й, буд. 1, Прип'ять, 01610",+380 (61) 780-98-14,priskaadamchuk@example.net
Негода,Прохір,Андрійович,Чоловіча,1960-07-31,Пекар,хутір Шахтарськ,"проспект Горбатий міст, буд. 303 кв. 3, Боково-Хрустальне, 18589",+380 43 021-72-74,vira53@example.com
Семенченко,Остап,Вікторович,Чоловіча,2000-06-25,Гінеколог,місто Федорівка,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 075, Євпаторія, 77624",+380 26 990-78-83,violetta91@example.net
Пилипенко,Єва,Петрівна,Жіноча,2007-02-17,Адвокат,село Бурштин,"шосе Лютневий 1-й, буд. 53, Тростянець, 38775",074 220-50-91,kamillaruban@example.com
Короленко,Трохим,Вікторович,Чоловіча,1995-10-14,Громадський діяч,селище Ромни,"парк Добровольців, буд. 488, Мукачево, 03610",+380 (73) 407-16-89,irenazaporozhets@example.net
Терещук,Людмила,Анатоліївна,Жіноча,2004-12-18,Мистецтвознавець,місто Скалат,"провулок Аркадійська, буд. 34, Луганськ, 29766",+380 94 949-57-39,vadym22@example.org
Гайдамака,Світлана,Вікторівна,Жіноча,1987-06-06,Провізор,селище Зоринськ,"проспект Рибальська балка, буд. 03 кв. 940, Красилів, 37761",+380 04 194-09-62,taras77@example.com
Юхименко,Григорій,Романович,Чоловіча,2007-09-10,Паралегал,село Богуслав,"узвіз Йозефа Прибіка, буд. 69, Вишгород, 24312",+380 66 808-72-30,stefan91@example.com
Цимбалюк,Дан,Романович,Чоловіча,1946-04-10,Продюсер,хутір Новоазовськ,"проспект Скидановський узвіз, буд. 150, Новояворівськ, 36168",+380 (98) 224-01-21,sviatoslavsvystun@example.org
Архимович,Марія,Миколаївна,Жіноча,2008-01-26,Соціолог,село Бахмач,"провулок Пересипська 7-ма, буд. 12 кв. 091, Охтирка, 41850",099 821 90 95,odarkachaban@example.com
Даньків,Богданна,Степанівна,Жіноча,1995-02-12,Зоолог,хутір Заліщики,"набережна Архітектурна, буд. 269 кв. 3, Лохвиця, 22041",292 60 52,rbabiichuk@example.net
Носаченко,Людмила,Петрівна,Жіноча,1967-10-21,Дипломат,хутір Львів,"набережна Технічний, буд. 2, Яготин, 43072",094 16 38,hkozachenko@example.org
Опанасенко,Еріка,Василівна,Жіноча,1946-04-03,Художник,хутір Заводське,"сквер Корнюшина, буд. 53 кв. 9, Торецьк, 99088",+380 (67) 754-13-80,piddubnyiodarka@example.org
Швачко,Олена,Юріївна,Жіноча,1992-04-21,Диригент,селище Боково-Хрустальне,"провулок Східчастий, буд. 6 кв. 55, Фастів, 54567",+380 78 813 56 51,anastasiia08@example.net
Журавель,Степан,Григорович,Чоловіча,1947-12-14,Електромонтажник,хутір Вінниця,"набережна Студентський 1-й, буд. 944 кв. 230, Кропивницький, 91366",009 701-95-89,vyshniakmartyn@example.com
Вернидуб,Михайлина,Сергіївна,Жіноча,1950-02-24,Кур'єр,селище Авдіївка,"парк Чорноморський 9-й, буд. 8 кв. 58, Камінь-Каширський, 09851",+380 (48) 267-88-80,albert73@example.com
Лукаш,Давид,Сергійович,Чоловіча,1990-08-02,Гицель,хутір Хмельницький,"вулиця Госпітальний, буд. 110 кв. 0, Новомиргород, 80456",452-95-93,makarenkovenedykt@example.net
Михайлюк,Устим,Володимирович,Чоловіча,2010-09-10,Історик,хутір Курахове,"набережна Заводська 3-тя, буд. 26 кв. 5, Синельникове, 10545",+380 47 236-31-51,eshovkoplias@example.net
Стус,Лариса,Михайлівна,Жіноча,1967-05-21,Ювелір,хутір Лозова,"площа Серединський, буд. 20 кв. 68, Бібрка, 50073",004 191 25 32,khomazakusylo@example.com
Вівчаренко,Роксолана,Михайлівна,Жіноча,1981-10-22,Підприємець,хутір Кременчук,"сквер Овідіопольська, буд. 30, Нововолинськ, 50986",022 15 98,oksanaverkhola@example.org
Тимченко,Віолетта,Олегівна,Жіноча,1982-06-16,Дипломат,селище Авдіївка,"проспект Геологічна, буд. 94 кв. 60, Чигирин, 69158",+380 81 870 19 20,mariia75@example.net
Вишивана,Соломія,Олександрівна,Жіноча,2010-02-06,Клоун,місто Шостка,"парк Ювілейний 2-й, буд. 37 кв. 892, Чугуїв, 23574",083 552-92-27,khaida@example.org
Лазаренко,Маруся,Анатоліївна,Жіноча,1987-08-24,Золотар,селище Зборів,"площа Асташкіна, буд. 15, Ужгород, 34456",010 213-04-38,shmorhunopanas@example.com
Гузь,Леонтій,Максимович,Чоловіча,1966-07-22,Юрист,місто Овруч,"набережна 11-та Лінія Марії Демченко, буд. 36 кв. 6, Чорнобиль, 03663",171 76 57,pkabanenko@example.net
